registerno,department,semester,staff,subject,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,average
RE2aF6TJmUzyPNYZ4A65r/vOgGRU3nIR,Computer Science and Engineering -C,4,Mr.M.Balasubramani,23CST402 Operating System,8.00,10.00,9.00,10.00,10.00,9.00,7.00,10.00,5.00,8.00,8.60
RE2aF6TJmUzyPNYZ4A65r/vOgGRU3nIR,Computer Science and Engineering -C,4,Mr.Syed Ibrahim,23GET401  Environmental Science and Sustainability,9.00,9.00,10.00,10.00,10.00,10.00,10.00,10.00,7.00,9.00,9.40
RE2aF6TJmUzyPNYZ4A65r/vOgGRU3nIR,Computer Science and Engineering -C,4,Mr.M.Balasubramani, 23CSP401- Operating Systems Laboratory,9.00,10.00,9.00,8.00,10.00,9.00,7.00,10.00,6.00,8.00,8.60
RE2aF6TJmUzyPNYZ4A65r/vOgGRU3nIR,Computer Science and Engineering -C,4,Ms.Anusuya, 23CSP402- Database Management Systems      Laboratory,10.00,10.00,9.00,8.00,10.00,8.00,7.00,10.00,5.00,9.00,8.60
RE2aF6TJmUzyPNYZ4A65r/vOgGRU3nIR,Computer Science and Engineering -C,4,Mrs.T.Gayathri,ALT402-Artificial Intelligence and Machine Learning Laboratory,10.00,10.00,9.00,9.00,10.00,9.00,10.00,10.00,5.00,9.00,9.10
RE2aF6TJmUzyPNYZ4A65r/vOgGRU3nIR,Computer Science and Engineering -C,4,Mrs.C.Manonmani, 23CST404-Algorithm Laboratory (ALG LAB),10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.00,9.00,9.80
RE2aF6TJmUzyPNYZ4A65r/vOgGRU3nIR,Computer Science and Engineering -C,4,Mr.Thanu,Placement Training  (CODING),8.00,9.00,8.00,9.00,10.00,10.00,7.00,10.00,5.00,8.00,8.40
RE2aF6TJmUzyPNYZ4A65r/vOgGRU3nIR,Computer Science and Engineering -C,4,Mrs.Kamatchi,Placement Training(COMMUNICATION),10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.00,9.00,9.80
qDcLVHfGN69g7nxoLH3eQWB0eu7FIIE3,Computer Science and Engineering -C,4,Mrs.T.Gayathri,23CST402-Theory of  Computation,5.00,3.00,2.00,4.00,5.00,4.00,1.00,8.00,4.00,5.00,4.10
qDcLVHfGN69g7nxoLH3eQWB0eu7FIIE3,Computer Science and Engineering -C,4,Ms.S.Kamali, 23ALT402-Artificial Intelligence and Machine Learning,9.00,5.00,5.00,7.00,7.00,5.00,5.00,8.00,5.00,6.00,6.20
qDcLVHfGN69g7nxoLH3eQWB0eu7FIIE3,Computer Science and Engineering -C,4,Mr.K.Srinath Yadav,23CST403 Database Management System,2.00,7.00,7.00,5.00,8.00,8.00,4.00,7.00,8.00,7.00,6.30
qDcLVHfGN69g7nxoLH3eQWB0eu7FIIE3,Computer Science and Engineering -C,4,Mr.S.P.Prasanth,23CST404Algorithms,1.00,3.00,2.00,3.00,8.00,2.00,3.00,5.00,8.00,4.00,3.90
qDcLVHfGN69g7nxoLH3eQWB0eu7FIIE3,Computer Science and Engineering -C,4,Mr.M.Balasubramani,23CST402 Operating System,1.00,7.00,6.00,9.00,6.00,6.00,4.00,7.00,10.00,8.00,6.40
qDcLVHfGN69g7nxoLH3eQWB0eu7FIIE3,Computer Science and Engineering -C,4,Mr.Syed Ibrahim,23GET401  Environmental Science and Sustainability,10.00,8.00,10.00,8.00,9.00,8.00,7.00,8.00,9.00,10.00,8.70
qDcLVHfGN69g7nxoLH3eQWB0eu7FIIE3,Computer Science and Engineering -C,4,Mr.M.Balasubramani, 23CSP401- Operating Systems Laboratory,1.00,8.00,7.00,8.00,8.00,8.00,4.00,7.00,7.00,5.00,6.30
qDcLVHfGN69g7nxoLH3eQWB0eu7FIIE3,Computer Science and Engineering -C,4,Ms.Anusuya, 23CSP402- Database Management Systems      Laboratory,3.00,2.00,5.00,5.00,5.00,6.00,4.00,10.00,7.00,7.00,5.40
qDcLVHfGN69g7nxoLH3eQWB0eu7FIIE3,Computer Science and Engineering -C,4,Mrs.T.Gayathri,ALT402-Artificial Intelligence and Machine Learning Laboratory,5.00,3.00,5.00,5.00,7.00,5.00,3.00,9.00,8.00,7.00,5.70
qDcLVHfGN69g7nxoLH3eQWB0eu7FIIE3,Computer Science and Engineering -C,4,Mrs.C.Manonmani, 23CST404-Algorithm Laboratory (ALG LAB),5.00,8.00,5.00,9.00,9.00,6.00,6.00,7.00,8.00,8.00,7.10
qDcLVHfGN69g7nxoLH3eQWB0eu7FIIE3,Computer Science and Engineering -C,4,Mr.Thanu,Placement Training  (CODING),8.00,10.00,10.00,9.00,10.00,10.00,8.00,8.00,6.00,10.00,8.90
qDcLVHfGN69g7nxoLH3eQWB0eu7FIIE3,Computer Science and Engineering -C,4,Mrs.Kamatchi,Placement Training(COMMUNICATION),5.00,8.00,7.00,6.00,7.00,6.00,9.00,9.00,6.00,10.00,7.30
5h2+A3D8cioSOfVfg4g2TGGxVaYkum6f,Computer Science and Engineering -C,4,Mrs.T.Gayathri,23CST402-Theory of  Computation,9.00,8.00,9.00,9.00,9.00,10.00,9.00,8.00,10.00,6.00,8.70
5h2+A3D8cioSOfVfg4g2TGGxVaYkum6f,Computer Science and Engineering -C,4,Ms.S.Kamali, 23ALT402-Artificial Intelligence and Machine Learning,8.00,9.00,9.00,9.00,10.00,10.00,10.00,8.00,9.00,9.00,9.10
5h2+A3D8cioSOfVfg4g2TGGxVaYkum6f,Computer Science and Engineering -C,4,Mr.K.Srinath Yadav,23CST403 Database Management System,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
5h2+A3D8cioSOfVfg4g2TGGxVaYkum6f,Computer Science and Engineering -C,4,Mr.S.P.Prasanth,23CST404Algorithms,7.00,9.00,8.00,9.00,8.00,8.00,6.00,9.00,10.00,9.00,8.30
5h2+A3D8cioSOfVfg4g2TGGxVaYkum6f,Computer Science and Engineering -C,4,Mr.M.Balasubramani,23CST402 Operating System,9.00,9.00,9.00,10.00,9.00,9.00,9.00,9.00,8.00,10.00,9.10
5h2+A3D8cioSOfVfg4g2TGGxVaYkum6f,Computer Science and Engineering -C,4,Mr.Syed Ibrahim,23GET401  Environmental Science and Sustainability,9.00,8.00,9.00,10.00,8.00,9.00,9.00,8.00,10.00,9.00,8.90
5h2+A3D8cioSOfVfg4g2TGGxVaYkum6f,Computer Science and Engineering -C,4,Mr.M.Balasubramani, 23CSP401- Operating Systems Laboratory,10.00,8.00,9.00,10.00,10.00,9.00,9.00,8.00,9.00,10.00,9.20
5h2+A3D8cioSOfVfg4g2TGGxVaYkum6f,Computer Science and Engineering -C,4,Ms.Anusuya, 23CSP402- Database Management Systems      Laboratory,9.00,8.00,9.00,8.00,9.00,9.00,9.00,9.00,9.00,8.00,8.70
5h2+A3D8cioSOfVfg4g2TGGxVaYkum6f,Computer Science and Engineering -C,4,Mrs.T.Gayathri,ALT402-Artificial Intelligence and Machine Learning Laboratory,8.00,9.00,10.00,9.00,8.00,9.00,10.00,10.00,10.00,10.00,9.30
5h2+A3D8cioSOfVfg4g2TGGxVaYkum6f,Computer Science and Engineering -C,4,Mrs.C.Manonmani, 23CST404-Algorithm Laboratory (ALG LAB),9.00,10.00,10.00,10.00,10.00,9.00,8.00,8.00,9.00,10.00,9.30
5h2+A3D8cioSOfVfg4g2TGGxVaYkum6f,Computer Science and Engineering -C,4,Mr.Thanu,Placement Training  (CODING),10.00,10.00,9.00,10.00,9.00,9.00,9.00,10.00,9.00,9.00,9.40
5h2+A3D8cioSOfVfg4g2TGGxVaYkum6f,Computer Science and Engineering -C,4,Mrs.Kamatchi,Placement Training(COMMUNICATION),10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
VfSmfpr6DrOnMD0GHm0X2UATxcn2sqnx,Computer Science and Engineering -C,4,Mrs.T.Gayathri,23CST402-Theory of  Computation,8.00,8.00,9.00,8.00,9.00,8.00,8.00,8.00,8.00,8.00,8.20
VfSmfpr6DrOnMD0GHm0X2UATxcn2sqnx,Computer Science and Engineering -C,4,Ms.S.Kamali, 23ALT402-Artificial Intelligence and Machine Learning,8.00,9.00,9.00,9.00,8.00,9.00,8.00,8.00,8.00,8.00,8.40
VfSmfpr6DrOnMD0GHm0X2UATxcn2sqnx,Computer Science and Engineering -C,4,Mr.K.Srinath Yadav,23CST403 Database Management System,8.00,9.00,9.00,9.00,9.00,9.00,8.00,8.00,8.00,8.00,8.50
VfSmfpr6DrOnMD0GHm0X2UATxcn2sqnx,Computer Science and Engineering -C,4,Mr.S.P.Prasanth,23CST404Algorithms,8.00,8.00,8.00,9.00,8.00,9.00,8.00,8.00,8.00,8.00,8.20
VfSmfpr6DrOnMD0GHm0X2UATxcn2sqnx,Computer Science and Engineering -C,4,Mr.M.Balasubramani,23CST402 Operating System,8.00,9.00,9.00,9.00,9.00,9.00,9.00,8.00,8.00,8.00,8.60
VfSmfpr6DrOnMD0GHm0X2UATxcn2sqnx,Computer Science and Engineering -C,4,Mr.Syed Ibrahim,23GET401  Environmental Science and Sustainability,9.00,9.00,9.00,9.00,9.00,9.00,9.00,8.00,8.00,8.00,8.70
VfSmfpr6DrOnMD0GHm0X2UATxcn2sqnx,Computer Science and Engineering -C,4,Mr.M.Balasubramani, 23CSP401- Operating Systems Laboratory,8.00,8.00,9.00,8.00,8.00,8.00,9.00,8.00,8.00,8.00,8.20
VfSmfpr6DrOnMD0GHm0X2UATxcn2sqnx,Computer Science and Engineering -C,4,Ms.Anusuya, 23CSP402- Database Management Systems      Laboratory,8.00,8.00,7.00,8.00,8.00,7.00,8.00,8.00,8.00,8.00,7.80
VfSmfpr6DrOnMD0GHm0X2UATxcn2sqnx,Computer Science and Engineering -C,4,Mrs.T.Gayathri,ALT402-Artificial Intelligence and Machine Learning Laboratory,8.00,8.00,8.00,8.00,8.00,9.00,8.00,8.00,8.00,8.00,8.10
VfSmfpr6DrOnMD0GHm0X2UATxcn2sqnx,Computer Science and Engineering -C,4,Mrs.C.Manonmani, 23CST404-Algorithm Laboratory (ALG LAB),8.00,8.00,9.00,8.00,8.00,8.00,8.00,9.00,8.00,8.00,8.20
VfSmfpr6DrOnMD0GHm0X2UATxcn2sqnx,Computer Science and Engineering -C,4,Mr.Thanu,Placement Training  (CODING),9.00,8.00,8.00,9.00,8.00,8.00,8.00,9.00,8.00,8.00,8.30
VfSmfpr6DrOnMD0GHm0X2UATxcn2sqnx,Computer Science and Engineering -C,4,Mrs.Kamatchi,Placement Training(COMMUNICATION),8.00,8.00,8.00,8.00,9.00,8.00,9.00,8.00,8.00,8.00,8.20
EdeiMa+vUtxsDu6Ty87LeMbVHKxk06uw,Computer Science and Engineering -C,4,Mrs.T.Gayathri,23CST402-Theory of  Computation,10.00,8.00,7.00,8.00,9.00,8.00,9.00,8.00,8.00,9.00,8.40
EdeiMa+vUtxsDu6Ty87LeMbVHKxk06uw,Computer Science and Engineering -C,4,Ms.S.Kamali, 23ALT402-Artificial Intelligence and Machine Learning,9.00,8.00,9.00,9.00,9.00,8.00,10.00,9.00,10.00,10.00,9.10
EdeiMa+vUtxsDu6Ty87LeMbVHKxk06uw,Computer Science and Engineering -C,4,Mr.K.Srinath Yadav,23CST403 Database Management System,10.00,9.00,9.00,9.00,8.00,9.00,8.00,9.00,10.00,8.00,8.90
EdeiMa+vUtxsDu6Ty87LeMbVHKxk06uw,Computer Science and Engineering -C,4,Mr.S.P.Prasanth,23CST404Algorithms,9.00,10.00,9.00,8.00,9.00,7.00,8.00,8.00,8.00,7.00,8.30
EdeiMa+vUtxsDu6Ty87LeMbVHKxk06uw,Computer Science and Engineering -C,4,Mr.M.Balasubramani,23CST402 Operating System,8.00,8.00,9.00,9.00,10.00,10.00,8.00,8.00,9.00,9.00,8.80
EdeiMa+vUtxsDu6Ty87LeMbVHKxk06uw,Computer Science and Engineering -C,4,Mr.Syed Ibrahim,23GET401  Environmental Science and Sustainability,9.00,8.00,8.00,7.00,8.00,9.00,10.00,9.00,8.00,9.00,8.50
EdeiMa+vUtxsDu6Ty87LeMbVHKxk06uw,Computer Science and Engineering -C,4,Mr.M.Balasubramani, 23CSP401- Operating Systems Laboratory,9.00,10.00,9.00,8.00,8.00,7.00,7.00,8.00,9.00,10.00,8.50
EdeiMa+vUtxsDu6Ty87LeMbVHKxk06uw,Computer Science and Engineering -C,4,Ms.Anusuya, 23CSP402- Database Management Systems      Laboratory,8.00,9.00,7.00,8.00,8.00,8.00,9.00,7.00,8.00,8.00,8.00
EdeiMa+vUtxsDu6Ty87LeMbVHKxk06uw,Computer Science and Engineering -C,4,Mrs.T.Gayathri,ALT402-Artificial Intelligence and Machine Learning Laboratory,8.00,9.00,7.00,9.00,8.00,9.00,9.00,9.00,8.00,8.00,8.40
EdeiMa+vUtxsDu6Ty87LeMbVHKxk06uw,Computer Science and Engineering -C,4,Mrs.C.Manonmani, 23CST404-Algorithm Laboratory (ALG LAB),7.00,8.00,9.00,8.00,8.00,9.00,9.00,7.00,7.00,8.00,8.00
EdeiMa+vUtxsDu6Ty87LeMbVHKxk06uw,Computer Science and Engineering -C,4,Mr.Thanu,Placement Training  (CODING),10.00,9.00,10.00,10.00,9.00,9.00,10.00,10.00,9.00,8.00,9.40
EdeiMa+vUtxsDu6Ty87LeMbVHKxk06uw,Computer Science and Engineering -C,4,Mrs.Kamatchi,Placement Training(COMMUNICATION),10.00,10.00,10.00,10.00,10.00,10.00,9.00,8.00,9.00,10.00,9.60
ZB+tuJeJn+cI4DwX81Hqm6nbYSt1moEJ,Electrical and Electronics Engineering -A,6,Mr. K.Karthi ,Protection and Switchgear,10.00,9.00,8.00,10.00,8.00,9.00,9.00,8.00,8.00,9.00,8.80
ZB+tuJeJn+cI4DwX81Hqm6nbYSt1moEJ,Electrical and Electronics Engineering -A,6,Mr.R.Sivakumar ,Power System Operation and Control,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00
ZB+tuJeJn+cI4DwX81Hqm6nbYSt1moEJ,Electrical and Electronics Engineering -A,6,Mr.R.Arunkumar ,Artificial Intelligence and Machine Learning Fundamentals,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
ZB+tuJeJn+cI4DwX81Hqm6nbYSt1moEJ,Electrical and Electronics Engineering -A,6,Mr.S.Rajesh ,HVDC and FACTS,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
ZB+tuJeJn+cI4DwX81Hqm6nbYSt1moEJ,Electrical and Electronics Engineering -A,6,Dr.I.Kathir ,Smart System Automation,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
ZB+tuJeJn+cI4DwX81Hqm6nbYSt1moEJ,Electrical and Electronics Engineering -A,6,Dr.K.Umamaheswari ,Power Electronics for Renewable Energy Systems,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
ZB+tuJeJn+cI4DwX81Hqm6nbYSt1moEJ,Electrical and Electronics Engineering -A,6,Mr.Jihin Jino,Placement,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
hTgcOp0jDoHo007T6vynuw2EgHKc1ppK,Electrical and Electronics Engineering -A,6,Mr. K.Karthi ,Protection and Switchgear,10.00,10.00,10.00,10.00,9.00,10.00,10.00,10.00,10.00,10.00,9.90
hTgcOp0jDoHo007T6vynuw2EgHKc1ppK,Electrical and Electronics Engineering -A,6,Mr.R.Sivakumar ,Power System Operation and Control,10.00,9.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.90
hTgcOp0jDoHo007T6vynuw2EgHKc1ppK,Electrical and Electronics Engineering -A,6,Mr.R.Arunkumar ,Artificial Intelligence and Machine Learning Fundamentals,10.00,10.00,9.00,10.00,10.00,10.00,10.00,9.00,8.00,10.00,9.60
hTgcOp0jDoHo007T6vynuw2EgHKc1ppK,Electrical and Electronics Engineering -A,6,Mr.S.Rajesh ,HVDC and FACTS,10.00,10.00,10.00,10.00,10.00,10.00,10.00,8.00,9.00,10.00,9.70
hTgcOp0jDoHo007T6vynuw2EgHKc1ppK,Electrical and Electronics Engineering -A,6,Dr.I.Kathir ,Smart System Automation,10.00,10.00,10.00,10.00,9.00,10.00,9.00,10.00,10.00,10.00,9.80
hTgcOp0jDoHo007T6vynuw2EgHKc1ppK,Electrical and Electronics Engineering -A,6,Dr.K.Umamaheswari ,Power Electronics for Renewable Energy Systems,9.00,9.00,9.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.70
hTgcOp0jDoHo007T6vynuw2EgHKc1ppK,Electrical and Electronics Engineering -A,6,Mr.Jihin Jino,Placement,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
8wO5zushRlEPxv3dIdHgoa7kRVxmKVxP,Electrical and Electronics Engineering -A,6,Mr. K.Karthi ,Protection and Switchgear,10.00,9.00,9.00,9.00,10.00,9.00,9.00,9.00,9.00,9.00,9.20
8wO5zushRlEPxv3dIdHgoa7kRVxmKVxP,Electrical and Electronics Engineering -A,6,Mr.R.Sivakumar ,Power System Operation and Control,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00
8wO5zushRlEPxv3dIdHgoa7kRVxmKVxP,Electrical and Electronics Engineering -A,6,Mr.R.Arunkumar ,Artificial Intelligence and Machine Learning Fundamentals,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00
8wO5zushRlEPxv3dIdHgoa7kRVxmKVxP,Electrical and Electronics Engineering -A,6,Mr.S.Rajesh ,HVDC and FACTS,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00
8wO5zushRlEPxv3dIdHgoa7kRVxmKVxP,Electrical and Electronics Engineering -A,6,Dr.I.Kathir ,Smart System Automation,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00
8wO5zushRlEPxv3dIdHgoa7kRVxmKVxP,Electrical and Electronics Engineering -A,6,Dr.K.Umamaheswari ,Power Electronics for Renewable Energy Systems,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00
8wO5zushRlEPxv3dIdHgoa7kRVxmKVxP,Electrical and Electronics Engineering -A,6,Mr.Jihin Jino,Placement,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00
gP6+bJsblnJ32ALZ5TxDeJNB5z8GAi2F,Electrical and Electronics Engineering -A,6,Mr. K.Karthi ,Protection and Switchgear,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
gP6+bJsblnJ32ALZ5TxDeJNB5z8GAi2F,Electrical and Electronics Engineering -A,6,Mr.R.Sivakumar ,Power System Operation and Control,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
gP6+bJsblnJ32ALZ5TxDeJNB5z8GAi2F,Electrical and Electronics Engineering -A,6,Mr.R.Arunkumar ,Artificial Intelligence and Machine Learning Fundamentals,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
gP6+bJsblnJ32ALZ5TxDeJNB5z8GAi2F,Electrical and Electronics Engineering -A,6,Mr.S.Rajesh ,HVDC and FACTS,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
gP6+bJsblnJ32ALZ5TxDeJNB5z8GAi2F,Electrical and Electronics Engineering -A,6,Dr.I.Kathir ,Smart System Automation,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
gP6+bJsblnJ32ALZ5TxDeJNB5z8GAi2F,Electrical and Electronics Engineering -A,6,Dr.K.Umamaheswari ,Power Electronics for Renewable Energy Systems,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
gP6+bJsblnJ32ALZ5TxDeJNB5z8GAi2F,Electrical and Electronics Engineering -A,6,Mr.Jihin Jino,Placement,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
DGq5kreESidgdzo/ydNZmG0eDT/Abpuu,Computer Science and Engineering -C,4,Mrs.T.Gayathri,23CST402-Theory of  Computation,8.00,3.00,5.00,4.00,10.00,4.00,3.00,8.00,7.00,1.00,5.30
DGq5kreESidgdzo/ydNZmG0eDT/Abpuu,Computer Science and Engineering -C,4,Ms.S.Kamali, 23ALT402-Artificial Intelligence and Machine Learning,10.00,8.00,10.00,8.00,10.00,4.00,10.00,9.00,8.00,10.00,8.70
DGq5kreESidgdzo/ydNZmG0eDT/Abpuu,Computer Science and Engineering -C,4,Mr.K.Srinath Yadav,23CST403 Database Management System,5.00,9.00,5.00,8.00,10.00,9.00,3.00,8.00,1.00,9.00,6.70
DGq5kreESidgdzo/ydNZmG0eDT/Abpuu,Computer Science and Engineering -C,4,Mr.S.P.Prasanth,23CST404Algorithms,9.00,8.00,7.00,6.00,10.00,7.00,9.00,5.00,5.00,7.00,7.30
DGq5kreESidgdzo/ydNZmG0eDT/Abpuu,Computer Science and Engineering -C,4,Mr.M.Balasubramani,23CST402 Operating System,1.00,10.00,5.00,3.00,10.00,7.00,1.00,8.00,1.00,3.00,4.90
DGq5kreESidgdzo/ydNZmG0eDT/Abpuu,Computer Science and Engineering -C,4,Mr.Syed Ibrahim,23GET401  Environmental Science and Sustainability,10.00,9.00,7.00,8.00,10.00,10.00,10.00,9.00,4.00,10.00,8.70
DGq5kreESidgdzo/ydNZmG0eDT/Abpuu,Computer Science and Engineering -C,4,Mr.M.Balasubramani, 23CSP401- Operating Systems Laboratory,1.00,9.00,5.00,8.00,10.00,9.00,1.00,8.00,1.00,3.00,5.50
DGq5kreESidgdzo/ydNZmG0eDT/Abpuu,Computer Science and Engineering -C,4,Ms.Anusuya, 23CSP402- Database Management Systems      Laboratory,9.00,9.00,9.00,9.00,10.00,8.00,10.00,8.00,7.00,5.00,8.40
DGq5kreESidgdzo/ydNZmG0eDT/Abpuu,Computer Science and Engineering -C,4,Mrs.T.Gayathri,ALT402-Artificial Intelligence and Machine Learning Laboratory,4.00,3.00,5.00,6.00,10.00,7.00,4.00,9.00,1.00,1.00,5.00
DGq5kreESidgdzo/ydNZmG0eDT/Abpuu,Computer Science and Engineering -C,4,Mrs.C.Manonmani, 23CST404-Algorithm Laboratory (ALG LAB),6.00,10.00,5.00,8.00,10.00,10.00,5.00,6.00,4.00,7.00,7.10
DGq5kreESidgdzo/ydNZmG0eDT/Abpuu,Computer Science and Engineering -C,4,Mr.Thanu,Placement Training  (CODING),8.00,8.00,10.00,8.00,10.00,8.00,9.00,10.00,10.00,7.00,8.80
DGq5kreESidgdzo/ydNZmG0eDT/Abpuu,Computer Science and Engineering -C,4,Mrs.Kamatchi,Placement Training(COMMUNICATION),8.00,9.00,8.00,9.00,10.00,10.00,10.00,9.00,10.00,10.00,9.30
3Cp0KlfUHIUUke9ItkP6gRtr7TFndiMv,Computer Science and Engineering -C,4,Mrs.T.Gayathri,23CST402-Theory of  Computation,10.00,10.00,10.00,10.00,10.00,9.00,10.00,10.00,10.00,10.00,9.90
3Cp0KlfUHIUUke9ItkP6gRtr7TFndiMv,Computer Science and Engineering -C,4,Ms.S.Kamali, 23ALT402-Artificial Intelligence and Machine Learning,10.00,10.00,10.00,10.00,9.00,10.00,10.00,10.00,10.00,10.00,9.90
3Cp0KlfUHIUUke9ItkP6gRtr7TFndiMv,Computer Science and Engineering -C,4,Mr.K.Srinath Yadav,23CST403 Database Management System,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
3Cp0KlfUHIUUke9ItkP6gRtr7TFndiMv,Computer Science and Engineering -C,4,Mr.S.P.Prasanth,23CST404Algorithms,10.00,10.00,10.00,10.00,9.00,8.00,10.00,10.00,10.00,9.00,9.60
3Cp0KlfUHIUUke9ItkP6gRtr7TFndiMv,Computer Science and Engineering -C,4,Mr.M.Balasubramani,23CST402 Operating System,9.00,10.00,10.00,10.00,9.00,10.00,10.00,7.00,9.00,10.00,9.40
3Cp0KlfUHIUUke9ItkP6gRtr7TFndiMv,Computer Science and Engineering -C,4,Mr.Syed Ibrahim,23GET401  Environmental Science and Sustainability,10.00,10.00,10.00,10.00,10.00,10.00,9.00,10.00,10.00,10.00,9.90
3Cp0KlfUHIUUke9ItkP6gRtr7TFndiMv,Computer Science and Engineering -C,4,Mr.M.Balasubramani, 23CSP401- Operating Systems Laboratory,10.00,9.00,10.00,10.00,10.00,10.00,10.00,8.00,6.00,8.00,9.10
3Cp0KlfUHIUUke9ItkP6gRtr7TFndiMv,Computer Science and Engineering -C,4,Ms.Anusuya, 23CSP402- Database Management Systems      Laboratory,10.00,10.00,10.00,10.00,9.00,10.00,10.00,8.00,9.00,9.00,9.50
3Cp0KlfUHIUUke9ItkP6gRtr7TFndiMv,Computer Science and Engineering -C,4,Mrs.T.Gayathri,ALT402-Artificial Intelligence and Machine Learning Laboratory,10.00,9.00,9.00,10.00,9.00,10.00,10.00,10.00,8.00,10.00,9.50
3Cp0KlfUHIUUke9ItkP6gRtr7TFndiMv,Computer Science and Engineering -C,4,Mrs.C.Manonmani, 23CST404-Algorithm Laboratory (ALG LAB),10.00,10.00,10.00,10.00,9.00,6.00,10.00,8.00,9.00,10.00,9.20
3Cp0KlfUHIUUke9ItkP6gRtr7TFndiMv,Computer Science and Engineering -C,4,Mr.Thanu,Placement Training  (CODING),10.00,9.00,8.00,9.00,10.00,7.00,8.00,10.00,5.00,9.00,8.50
3Cp0KlfUHIUUke9ItkP6gRtr7TFndiMv,Computer Science and Engineering -C,4,Mrs.Kamatchi,Placement Training(COMMUNICATION),10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.00,9.00,8.00,9.60
tIMPqhbwMeoYHGljGZ+Kni9aq6jzfFtG,Computer Science and Engineering -C,4,Mrs.T.Gayathri,23CST402-Theory of  Computation,6.00,8.00,6.00,6.00,9.00,5.00,8.00,7.00,7.00,8.00,7.00
tIMPqhbwMeoYHGljGZ+Kni9aq6jzfFtG,Computer Science and Engineering -C,4,Ms.S.Kamali, 23ALT402-Artificial Intelligence and Machine Learning,9.00,9.00,8.00,8.00,9.00,7.00,8.00,10.00,9.00,9.00,8.60
tIMPqhbwMeoYHGljGZ+Kni9aq6jzfFtG,Computer Science and Engineering -C,4,Mr.K.Srinath Yadav,23CST403 Database Management System,9.00,10.00,9.00,9.00,9.00,8.00,9.00,8.00,9.00,10.00,9.00
tIMPqhbwMeoYHGljGZ+Kni9aq6jzfFtG,Computer Science and Engineering -C,4,Mr.S.P.Prasanth,23CST404Algorithms,8.00,8.00,9.00,9.00,8.00,9.00,8.00,8.00,8.00,7.00,8.20
tIMPqhbwMeoYHGljGZ+Kni9aq6jzfFtG,Computer Science and Engineering -C,4,Mr.M.Balasubramani,23CST402 Operating System,8.00,8.00,8.00,8.00,9.00,7.00,8.00,8.00,9.00,8.00,8.10
tIMPqhbwMeoYHGljGZ+Kni9aq6jzfFtG,Computer Science and Engineering -C,4,Mr.Syed Ibrahim,23GET401  Environmental Science and Sustainability,9.00,9.00,8.00,8.00,8.00,9.00,9.00,9.00,9.00,8.00,8.60
tIMPqhbwMeoYHGljGZ+Kni9aq6jzfFtG,Computer Science and Engineering -C,4,Mr.M.Balasubramani, 23CSP401- Operating Systems Laboratory,8.00,8.00,8.00,9.00,8.00,9.00,9.00,8.00,8.00,8.00,8.30
tIMPqhbwMeoYHGljGZ+Kni9aq6jzfFtG,Computer Science and Engineering -C,4,Ms.Anusuya, 23CSP402- Database Management Systems      Laboratory,7.00,7.00,7.00,8.00,8.00,8.00,7.00,7.00,8.00,8.00,7.50
